SalesID,DeliveryID,DateKey,ProductType,Region,UnitsSold,SalesAmount
300061,100389,2023-06-20 18:56:20,S.,MW,3,397.5
300062,104268,2025-11-21 11:03:42,Large Package,NE,2,499.51
300063,104048,2024-04-17 13:32:46,Freight,NW,4,168.38
300064,100506,2024-05-01 14:03:27,Large Package,SE,4,347.98
300065,104022,2024-02-01 00:44:37,Medium Package,SW,2,342.15
300066,100246,2023-05-18 01:04:53,Small Package,NE,3,431.52
300067,103511,2023-07-03 19:36:35,Freight,SW,3,331.75
300068,103707,2023-02-20 07:19:21,Large Package,NE,2,239.94
300069,104780,2023-11-03 01:17:56,Freight,SE,1,169.19
300070,103436,2023-10-18 18:13:55,Medium Package,MW,2,485.21
300071,103609,2025-09-17 04:57:35,Freight,NE,4,181.15
300072,103668,2025-09-24 19:42:57,Freight,SE,3,142.47
300073,104657,2023-11-04 22:29:05,Large Package,SE,1,400.48
300074,102545,2025-05-06 15:47:58,Medium Package,SE,4,258.87
300075,102714,2025-02-04 10:48:44,Small Package,SW,3,107.96
300076,101442,2024-12-29 01:59:36,Small Package,SE,4,192.35
300077,102639,2025-03-09 14:15:55,Small Package,S.,2,117.66
300078,104157,2024-09-22 22:15:39,Small Package,NW,3,120.33
300079,101918,2023-05-19 17:59:40,Small Package,MW,4,56.38
300080,100943,2023-03-31 21:18:12,Freight,SE,4,329.69
300081,100116,2023-10-10 19:38:27,Small Package,NW,4,198.21
300082,102557,2023-09-19 21:35:21,Freight,SE,1,48.57
300083,101223,2023-11-05 20:36:40,Large Package,NW,3,332.48
300084,100988,2025-01-22 21:33:09,Large Package,SE,2,162.49
300085,102822,2023-09-23 02:22:43,Medium Package,MW,2,97.79
300086,104279,2023-05-03 16:55:15,Small Package,SE,2,480.95
300087,103567,2024-01-25 23:35:35,Freight,SW,4,55.89
300088,101736,2024-10-06 19:55:16,Small Package,SE,4,205.6
300089,103113,2024-03-10 07:57:27,Freight,N.,2,315.46
300090,101986,2025-12-18 08:56:12,Large Package,SW,4,496.84
300091,101323,2025-01-16 17:18:47,Medium Package,NW,1,59.58
300092,100515,2025-10-07 20:04:37,Medium Package,SE,3,467.13
300093,103039,2023-08-24 14:25:16,Medium Package,SE,3,442.82
300094,103435,2023-12-02 17:08:52,Small Package,SE,1,394.0
300095,104214,2023-12-23 22:19:57,Freight,NE,3,69.27
300096,103148,2024-03-12 07:36:49,Small Package,M.,1,159.61
300097,104887,2025-04-11 14:36:30,Medium Package,MW,1,150.14
300098,102886,2025-12-04 22:08:32,Small Package,SW,1,276.44
300099,103986,2023-11-18 09:50:01,Small Package,SW,1,77.58
300100,102481,2025-09-05 19:02:19,Small Package,NE,2,411.81
300101,102010,2023-09-18 21:52:57,Small Package,NE,1,347.44
300102,101425,2024-06-20 19:02:53,Freight,N.,1,433.31
300103,100667,2025-11-07 16:46:50,Freight,NW,4,126.86
300104,100102,2024-01-18 20:51:02,Medium Package,NE,4,317.83
300105,104966,2023-03-26 00:10:38,Medium Package,NE,2,428.46
300106,103685,2024-10-29 06:01:16,Large Package,NE,1,44.22
300107,100048,2023-09-07 10:07:54,Freight,N.,1,284.28
300108,104214,2025-05-07 22:54:31,Small Package,MW,2,369.07
300109,104947,2023-08-17 21:42:35,Freight,SE,1,198.36
300110,101425,2025-09-04 09:26:59,Small Package,SE,3,189.7
300111,100467,2023-01-16 03:44:52,Small Package,MW,1,35.5
300112,100046,2023-02-20 11:29:34,Large Package,N.,2,255.06
300113,104096,2025-07-09 20:37:42,Large Package,NW,1,306.23
300114,104256,2024-04-28 11:23:51,Large Package,NW,1,375.39
300115,104719,2025-07-29 03:27:50,L.,SW,2,61.44
300116,104118,2023-11-17 16:08:02,Small Package,SE,2,220.0
300117,103827,2023-09-28 22:00:14,Small Package,SW,3,143.62
300118,101293,2025-01-28 22:09:15,Freight,NE,3,119.3
300119,101963,2025-08-02 15:38:40,Small Package,SW,3,137.92
300120,101316,2025-09-24 06:22:02,Freight,NE,3,193.07
300121,100498,2023-06-09 22:35:30,Freight,SW,2,371.74
300122,101700,2025-08-27 20:43:16,Large Package,MW,3,229.13
300123,100486,2025-04-11 17:33:36,Freight,N.,3,50.32
300124,104474,2025-06-14 14:27:13,M.,NW,2,186.75
300125,100774,2023-05-12 01:32:28,Medium Package,NE,1,72.65
300126,100888,2024-04-17 05:42:58,Small Package,NW,1,121.71
300127,104787,2025-08-02 17:29:16,Medium Package,NW,1,82.07
300128,103728,2025-12-01 11:29:34,Large Package,SW,1,486.56
300129,103773,2025-11-27 12:19:00,Large Package,SE,4,442.44
300130,104109,2023-02-22 11:12:44,Freight,SE,1,319.97
300131,102291,2023-05-10 01:14:00,Small Package,SE,4,140.27
300132,103506,2023-11-07 16:56:08,Medium Package,NW,2,103.66
300133,102261,2023-03-29 19:41:53,Small Package,SE,3,424.14
300134,102096,2025-05-02 17:26:31,Freight,NE,3,54.9
300135,101104,2023-06-02 02:43:12,Large Package,NE,4,352.75
300136,100877,2024-12-26 19:37:56,Freight,NE,3,161.53
300137,100180,2023-10-16 08:08:46,Medium Package,N.,1,255.01
300138,104767,2024-12-02 20:12:38,Large Package,NW,2,369.78
300139,100869,2023-07-03 03:20:39,Medium Package,SE,1,37.44
300140,103448,2025-10-03 03:26:31,Small Package,SW,4,104.27
300141,100216,2025-03-20 05:40:37,Large Package,NW,2,330.63
300142,102810,2025-12-20 16:16:38,Small Package,MW,2,461.47
300143,100624,2025-06-01 09:10:43,Large Package,NE,4,143.89
300144,104555,2025-10-16 22:14:36,Medium Package,NE,1,91.85
300145,100631,2023-12-26 11:15:11,Medium Package,SE,2,463.92
300146,104852,2024-07-19 15:12:25,Freight,SW,4,435.36
300147,100130,2025-09-12 23:35:02,Freight,N.,1,456.7
300148,103288,2024-02-20 06:24:06,Large Package,NW,3,79.86
300149,100529,2025-03-30 04:46:48,Large Package,SW,4,463.3
300150,101833,2025-12-26 03:49:30,Large Package,NE,4,299.03
300151,104327,2023-06-27 02:38:25,Freight,SE,2,340.13
300152,101147,2024-07-08 18:45:30,Medium Package,SE,2,237.98
300153,100561,2023-03-28 14:10:31,S.,SE,3,190.59
300154,104272,2025-09-10 03:54:00,Small Package,NW,4,74.17
300155,103586,2024-12-30 17:45:00,Large Package,SE,4,127.34
300156,101095,2024-07-14 08:03:10,Small Package,MW,3,302.06
300157,102172,2024-09-03 03:44:32,Small Package,NW,2,172.09
300158,102430,2024-06-05 07:05:16,Small Package,MW,3,77.45
300159,100083,2024-12-12 08:38:29,Freight,SE,3,360.63
300160,102987,2023-11-03 23:15:48,Freight,SW,2,273.7
300161,104760,2023-08-01 12:33:56,Small Package,NW,4,39.72
300162,100905,2024-12-30 11:37:37,Medium Package,MW,1,342.81
300163,103232,2025-11-29 05:06:49,Medium Package,NW,2,433.52
300164,103144,2023-07-23 17:05:33,Freight,MW,2,392.35
300165,101120,2025-03-31 14:27:04,Medium Package,N.,1,463.85
300166,101609,2023-09-28 11:07:07,Large Package,NE,3,182.19
300167,100538,2025-08-26 23:50:55,Large Package,MW,2,62.28
300168,100401,2024-10-07 02:29:08,Medium Package,MW,3,362.78
300169,104358,2025-04-23 04:42:26,Small Package,NW,4,452.94
300170,100198,2024-12-29 19:39:06,Medium Package,SW,3,173.12
300171,101531,2023-12-12 18:55:34,Small Package,NE,1,147.37
300172,104122,2025-12-21 01:21:25,Small Package,M.,2,363.13
300173,103651,2024-02-29 05:10:02,Medium Package,SE,4,369.54
300174,100971,2025-12-04 04:29:25,Large Package,SE,1,418.18
300175,102863,2023-10-15 16:39:27,Small Package,NW,1,378.02
300176,102370,2023-08-16 17:45:08,Small Package,SW,4,212.21
300177,104440,2025-09-02 09:31:15,Freight,NE,1,223.04
300178,104007,2023-09-13 03:31:42,Medium Package,MW,2,406.22
300179,101633,2025-10-22 03:14:51,Freight,SE,4,148.23
300180,100759,2023-12-27 06:08:29,Small Package,MW,2,72.21
300181,101371,2024-03-22 06:07:09,Small Package,SE,1,124.62
300182,102058,2024-01-23 02:22:47,Freight,NW,2,262.56
300183,100434,2023-03-15 02:27:10,Medium Package,NW,4,293.83
300184,103103,2025-04-16 07:50:57,Freight,MW,2,53.89
300185,100839,2024-09-07 04:57:23,Freight,NW,4,165.61
300186,103716,2024-01-29 11:07:06,Small Package,NE,3,379.66
300187,103169,2025-09-17 21:38:30,Large Package,NW,3,433.99
300188,104331,2025-12-18 09:09:22,Large Package,NE,1,82.37
300189,104738,2025-01-08 06:16:09,L.,NW,1,268.98
300190,102299,2024-04-13 21:37:10,Medium Package,MW,3,91.88
300191,102615,2023-12-01 02:11:52,Freight,NE,3,366.59
300192,100891,2025-03-11 18:24:53,Medium Package,SW,3,95.36
300193,104010,2024-12-09 22:31:37,Large Package,MW,2,66.4
300194,100760,2024-11-06 04:06:03,Medium Package,NE,3,231.55
300195,101225,2024-01-08 00:07:24,Medium Package,SE,1,65.47
300196,102296,2023-02-12 14:37:19,Medium Package,SE,3,411.72
300197,104909,2024-12-29 21:34:22,Large Package,SW,4,416.88
300198,100175,2025-04-13 07:23:47,Medium Package,SE,3,265.63
300199,103176,2025-09-28 12:52:30,Medium Package,M.,3,294.78
300200,103316,2023-09-05 12:54:25,Large Package,NE,1,83.65
300201,100864,2023-02-07 18:29:15,Large Package,MW,1,152.79
300202,101686,2025-07-04 11:29:26,Medium Package,NW,4,78.08
300203,103580,2023-04-16 00:05:54,Freight,NW,1,122.9
300204,102101,2024-08-06 23:21:20,Medium Package,SE,1,209.37
300205,103452,2025-05-06 20:01:37,Small Package,S.,4,347.29
300206,102368,2023-03-12 19:10:04,Large Package,SW,3,369.42
300207,101242,2025-07-20 02:17:11,Freight,NW,1,233.35
300208,102866,2024-02-21 04:43:31,Small Package,SW,3,160.66
300209,100927,2025-11-02 15:28:50,Small Package,SW,3,408.63
300210,102943,2023-06-30 11:08:22,Small Package,SE,2,230.03
300211,104499,2024-12-10 22:06:17,Freight,MW,1,289.05
300212,100346,2023-09-02 07:13:07,Small Package,MW,1,148.04
300213,100488,2025-11-17 17:24:33,L.,NE,2,51.93
300214,102847,2024-11-07 05:17:34,Freight,MW,3,98.97
300215,102406,2024-11-08 05:46:27,L.,MW,4,362.3
300216,101080,2025-10-07 22:14:40,Freight,SE,1,152.75
300217,101110,2024-11-18 03:59:51,Large Package,SE,3,80.67
300218,102425,2025-01-17 23:47:19,Freight,MW,4,328.17
300219,100930,2025-10-18 14:01:24,Small Package,NE,4,249.44
300220,101386,2024-04-11 01:35:42,Large Package,MW,2,31.15
300221,100969,2023-08-05 07:09:33,Large Package,MW,1,495.6
300222,104403,2024-12-25 09:50:13,Large Package,NW,3,203.47
300223,101934,2024-06-02 05:46:11,Medium Package,NE,3,334.5
300224,103160,2025-02-25 01:45:22,Small Package,MW,2,492.12
300225,104786,2023-10-24 18:26:52,Large Package,SE,3,324.6
300226,103667,2025-04-17 20:57:39,L.,MW,4,169.59
300227,100163,2025-04-16 11:59:08,Freight,SW,2,254.4
300228,100650,2023-04-15 19:44:46,Small Package,NW,2,69.34
300229,103731,2023-04-08 12:52:21,S.,NW,4,101.23
300230,102359,2024-06-29 03:29:21,Large Package,NW,2,169.59
300231,102094,2024-12-23 06:25:57,Medium Package,N.,1,60.68
300232,104101,2023-01-02 02:14:31,Large Package,NW,2,74.48
300233,103948,2024-02-19 23:00:56,Medium Package,MW,1,422.98
300234,101570,2024-01-15 07:26:52,Small Package,NE,3,139.81
300235,104999,2023-03-04 00:53:39,Small Package,SW,4,174.83
300236,103142,2023-06-06 00:25:03,Medium Package,SE,1,103.32
300237,103364,2024-09-17 22:31:19,Small Package,NW,3,214.02
300238,101146,2024-08-21 16:02:01,Freight,MW,2,354.94
300239,104852,2023-04-28 15:21:37,Medium Package,NE,1,473.76
300240,102568,2023-03-19 13:41:41,Freight,MW,1,278.62
300241,104938,2023-05-10 22:25:29,Large Package,NW,1,164.11
300242,103796,2024-02-10 05:58:04,Large Package,SE,4,264.73
300243,101851,2025-09-23 23:03:08,Freight,NE,2,81.28
300244,104658,2024-01-02 23:06:51,S.,MW,2,345.03
300245,102374,2025-10-25 04:36:56,Freight,NE,4,177.66
300246,101931,2024-09-25 00:36:01,Small Package,NW,1,473.53
300247,104138,2025-10-29 21:35:35,Freight,NW,2,336.1
300248,101589,2024-02-04 16:48:09,Freight,SW,4,248.55
300249,102943,2024-08-17 02:51:43,S.,SW,2,130.68
300250,103096,2023-07-28 07:25:10,Freight,NW,1,64.13
300251,100907,2025-08-30 21:09:20,Medium Package,NE,2,110.32
300252,104672,2024-11-12 20:03:00,Small Package,MW,4,293.62
300253,100259,2023-04-04 04:29:40,Large Package,MW,3,269.41
300254,101132,2024-11-22 03:08:25,Large Package,NE,1,24.54
300255,104623,2025-11-18 16:42:12,Freight,SE,2,377.15
300256,102762,2024-07-10 20:40:50,Large Package,NE,4,39.27
300257,101677,2025-02-03 21:02:36,Medium Package,NW,3,57.45
300258,100869,2023-06-24 10:55:33,Large Package,NW,1,361.71
300259,102031,2023-08-10 01:59:44,Large Package,SW,4,330.13
300260,104681,2025-12-05 10:32:29,Small Package,MW,3,123.4
300261,101588,2023-01-27 23:49:47,Freight,SW,2,338.16
300262,100574,2025-04-12 20:16:45,Large Package,MW,3,29.11
300263,100140,2023-06-20 06:59:36,Freight,NE,3,153.48
300264,104094,2024-05-12 20:19:59,Small Package,SE,1,384.58
300265,103372,2024-11-08 22:04:47,Large Package,MW,1,247.86
300266,101206,2023-04-28 14:11:48,Large Package,SE,3,430.68
300267,101085,2024-04-01 22:25:32,Small Package,SE,3,88.95
300268,100396,2023-04-04 15:33:34,Small Package,SE,3,434.07
300269,101864,2024-01-18 05:44:11,Large Package,NE,2,253.36
300270,102063,2024-12-01 01:16:29,Medium Package,SE,4,68.71
300271,100437,2023-02-15 16:54:19,Freight,SE,2,42.38
300272,103431,2024-04-16 13:43:56,F.,NW,2,20.62
300273,100651,2024-06-17 08:31:16,Freight,NW,1,325.78
300274,102177,2023-12-12 12:03:56,M.,MW,1,126.59
300275,102976,2023-01-13 02:08:34,Freight,NW,4,90.06
300276,100654,2023-12-23 15:51:34,Small Package,MW,1,308.68
300277,100848,2025-08-21 20:42:42,Small Package,SE,1,216.39
300278,101186,2023-11-26 23:09:28,Large Package,NW,3,235.76
300279,100477,2023-05-03 04:11:47,Medium Package,SW,1,84.33
300280,101061,2025-02-06 03:39:45,Medium Package,NE,4,141.54
300281,100975,2023-09-28 12:09:30,Large Package,NW,4,67.53
300282,103948,2024-01-20 10:22:28,Medium Package,NE,1,180.78
300283,102896,2023-10-16 16:54:09,Freight,NW,3,168.13
300284,100518,2025-11-08 10:12:28,Large Package,NW,4,393.26
300285,103639,2024-01-19 12:22:10,Freight,SW,3,493.63
300286,102948,2024-02-06 06:28:02,Freight,SE,2,499.61
300287,103802,2023-05-18 02:05:58,Large Package,MW,3,205.25
300288,100064,2025-11-23 13:34:51,Small Package,NW,3,400.69
300289,103265,2023-03-23 12:54:17,Large Package,NW,1,153.98
300290,104032,2023-11-04 18:15:02,M.,N.,3,88.65
300291,103676,2024-05-16 00:28:32,Freight,SE,2,327.18
300292,100852,2025-03-07 16:10:42,Freight,NW,3,248.91
300293,104265,2025-08-08 06:49:52,Medium Package,N.,2,304.97
300294,104833,2025-04-19 22:11:36,Large Package,MW,1,195.82
300295,100961,2024-05-19 19:26:53,Small Package,SE,4,164.98
300296,103352,2025-10-31 22:15:18,Medium Package,SE,3,465.34
300297,100005,2025-11-19 04:37:33,Small Package,NW,2,444.08
300298,104359,2025-03-31 17:33:16,F.,SE,2,79.42
300299,104148,2024-08-18 12:07:32,Large Package,SE,1,333.11
300300,102066,2023-06-18 23:05:42,Large Package,MW,3,191.77
300301,102312,2023-01-18 14:06:42,Freight,SW,1,292.41
300302,102853,2024-08-09 21:22:40,Medium Package,MW,4,119.45
300303,103414,2025-07-07 12:13:08,Freight,SW,4,367.35
300304,103487,2023-11-17 12:56:22,Medium Package,MW,2,168.71
300305,102432,2023-08-30 19:35:44,Freight,NW,1,350.5
300306,103078,2023-06-16 18:01:33,Small Package,MW,2,88.74
300307,104970,2023-08-23 14:57:30,Large Package,SE,3,84.17
300308,102927,2025-03-22 11:55:10,Small Package,SE,2,186.89
300309,103838,2024-10-03 02:33:11,Medium Package,NE,4,498.65
300310,101279,2024-11-18 18:23:15,Medium Package,NW,3,433.3
300311,104345,2023-12-21 06:49:12,F.,SE,2,317.97
300312,102961,2024-12-05 14:20:17,Small Package,NW,1,168.25
300313,100617,2023-06-11 00:48:47,Large Package,MW,1,98.74
300314,102359,2024-10-21 23:19:49,Medium Package,SE,2,377.08
300315,103931,2025-09-12 06:10:05,Freight,NW,2,117.99
300316,102079,2023-08-02 11:37:00,Large Package,MW,4,217.49
300317,103660,2025-02-04 04:22:18,Freight,SW,4,274.01
300318,102885,2023-09-16 08:19:22,Medium Package,NE,1,64.42
300319,100092,2023-07-11 13:18:24,Large Package,MW,1,394.1
300320,103593,2023-07-14 20:59:17,Freight,SW,2,471.81
300321,100890,2023-01-16 17:54:08,Medium Package,NW,4,90.4
300322,101959,2025-10-24 03:59:58,Freight,SW,2,436.43
300323,103913,2024-10-11 19:43:58,Freight,SE,4,252.66
300324,104129,2025-09-28 11:40:56,Freight,NW,1,85.18
300325,104947,2024-09-25 02:14:36,Large Package,NE,3,311.75
300326,103360,2023-03-06 08:13:35,Large Package,NE,4,466.52
300327,103018,2024-06-12 10:18:27,M.,NW,4,479.55
300328,101367,2025-02-27 12:44:07,Freight,SE,3,365.49
300329,104704,2023-06-06 22:16:03,Large Package,NW,4,256.92
300330,104603,2024-06-25 19:25:07,Large Package,NW,3,109.61
300331,104127,2024-09-06 16:17:46,Freight,NW,3,307.97
300332,104732,2023-11-03 13:11:08,Medium Package,MW,1,314.43
300333,104715,2023-07-28 16:56:10,Small Package,N.,2,73.32
300334,104818,2025-09-09 06:59:31,Freight,NE,3,141.81
300335,103500,2023-06-01 06:25:04,Medium Package,SE,4,167.52
300336,104097,2023-07-19 22:10:58,Small Package,NE,4,432.62
300337,101485,2024-09-16 05:07:57,Medium Package,SE,4,300.05
300338,101312,2025-03-26 21:18:53,Small Package,SE,1,137.08
300339,103688,2023-03-07 02:20:33,Small Package,NE,4,168.82
300340,100210,2024-07-16 08:39:33,Medium Package,N.,3,90.03
300341,104033,2023-09-17 11:50:19,Large Package,NW,2,41.25
300342,100782,2024-02-15 17:10:00,M.,MW,1,264.68
300343,100111,2023-05-25 15:24:24,Small Package,SE,2,35.28
300344,101388,2025-06-02 02:57:18,Freight,SW,2,496.18
300345,102023,2024-03-29 12:09:29,Small Package,SW,1,390.72
300346,103784,2024-06-11 06:36:20,Small Package,NE,2,393.38
300347,104398,2023-04-11 23:19:46,Medium Package,NE,2,382.17
300348,100696,2023-09-10 20:00:55,Small Package,SW,3,327.73
300349,100860,2023-06-05 07:12:40,Freight,M.,4,53.59
300350,100254,2025-04-14 10:43:06,Large Package,SE,4,238.87
300351,101252,2025-03-29 13:14:56,F.,SE,4,153.9
300352,101364,2025-09-23 21:04:31,Large Package,NE,4,163.15
300353,102974,2025-05-27 04:31:23,Freight,NE,2,197.94
300354,101588,2024-10-18 00:06:38,Large Package,NW,4,173.92
300355,104437,2023-11-01 10:17:29,Medium Package,MW,2,337.86
300356,102803,2025-07-14 03:14:49,Large Package,SE,2,23.58
300357,103409,2025-11-22 11:20:59,Medium Package,NW,3,195.81
300358,100257,2023-08-10 02:15:36,Freight,SW,2,473.34
300359,103131,2023-06-12 16:44:10,Small Package,NW,2,143.78
300360,102276,2025-12-20 15:56:02,Medium Package,SW,3,318.24
300361,100431,2023-11-02 21:30:05,Large Package,SW,3,289.0
300362,103887,2024-08-02 23:10:57,Medium Package,SE,1,254.85
300363,100117,2024-01-06 08:30:09,Medium Package,NW,1,78.65
300364,102947,2025-09-21 19:11:48,Medium Package,S.,2,421.2
300365,100339,2025-02-07 07:47:51,Medium Package,MW,3,292.29
300366,102218,2024-01-27 01:48:41,Small Package,MW,1,278.54
300367,101276,2024-12-17 06:35:32,Medium Package,MW,1,475.62
300368,100531,2023-05-16 07:15:19,Freight,MW,3,59.74
300369,104444,2025-11-16 16:53:28,Medium Package,SW,2,255.94
300370,103375,2025-11-20 10:41:55,Medium Package,MW,2,358.89
300371,103422,2023-04-11 18:18:03,Small Package,SE,3,402.63
300372,101596,2024-01-11 07:56:27,Freight,NW,4,20.42
300373,100150,2024-08-28 00:16:06,Small Package,NW,2,347.45
300374,100828,2025-06-10 03:26:48,Small Package,SE,3,478.74
300375,102383,2025-03-30 13:09:50,Freight,NE,2,370.51
300376,100274,2025-02-12 23:36:20,Freight,NE,4,221.14
300377,104810,2024-03-14 05:13:33,Medium Package,NE,1,440.48
300378,101227,2023-03-24 00:37:42,Freight,NE,4,441.74
300379,101251,2023-04-10 11:44:12,Medium Package,SW,3,350.34
300380,103250,2024-09-30 01:55:56,Small Package,SW,2,339.72
300381,100256,2024-04-05 16:54:59,Medium Package,NW,2,185.3
300382,100680,2023-03-23 05:20:33,Medium Package,NW,3,136.4
300383,104003,2025-03-06 12:15:00,Freight,SW,2,322.31
300384,101642,2025-09-01 23:44:01,Small Package,SW,1,23.78
300385,103111,2024-12-01 01:30:37,Freight,NW,2,424.64
300386,102982,2023-08-09 06:44:49,Small Package,SE,1,453.29
300387,101799,2024-09-14 11:18:25,L.,SW,2,98.73
300388,100242,2024-09-01 12:10:59,Small Package,SE,1,294.8
300389,100479,2024-03-21 22:29:27,Small Package,MW,1,105.57
300390,100773,2025-06-07 21:15:02,Small Package,SE,2,257.37
300391,100208,2023-08-04 19:31:48,Small Package,SE,2,326.44
300392,101545,2023-11-28 03:06:55,Medium Package,SW,4,207.46
300393,103996,2023-01-03 07:55:01,Freight,MW,3,449.52
300394,103612,2023-12-12 01:15:42,Small Package,NE,1,447.77
300395,103731,2024-07-29 21:18:47,Medium Package,SE,4,274.75
300396,102625,2025-03-28 16:05:01,Freight,MW,3,298.63
300397,100480,2023-10-17 10:51:42,Medium Package,MW,2,21.3
300398,101548,2023-11-29 05:27:18,Small Package,SW,3,182.21
300399,101003,2023-05-04 06:45:08,Freight,MW,1,385.17
300400,104459,2025-10-12 21:26:13,Small Package,NE,4,497.15
300401,102470,2025-10-28 06:42:50,Large Package,SW,4,473.74
300402,101958,2024-12-30 07:41:30,Medium Package,SE,1,65.4
300403,101637,2023-02-24 22:11:34,Small Package,SW,3,220.25
300404,103756,2025-08-01 09:26:44,Freight,SE,1,46.23
300405,102260,2023-06-17 16:48:57,Freight,SW,3,421.96
300406,101192,2023-01-06 16:42:39,M.,M.,1,370.43
300407,101231,2023-10-11 00:52:03,Large Package,NE,3,462.44
300408,102017,2025-11-14 19:13:32,Small Package,SW,4,260.82
300409,100520,2023-08-28 08:32:53,Freight,NW,2,69.57
300410,100018,2025-04-26 07:05:55,Large Package,MW,1,300.31
300411,101509,2024-03-14 20:02:19,Freight,SW,4,436.23
300412,104625,2025-02-19 05:07:48,Medium Package,MW,1,44.03
300413,102284,2023-05-16 07:50:49,Freight,NW,1,411.12
300414,102151,2025-09-01 16:45:05,Large Package,MW,3,319.33
300415,100936,2025-03-19 01:09:14,Freight,M.,1,83.47
300416,100236,2025-12-21 23:49:20,Large Package,S.,2,336.4
300417,103173,2024-02-25 21:01:06,Medium Package,MW,2,49.8
300418,101971,2025-11-08 01:57:32,Medium Package,S.,1,103.74
300419,103657,2023-05-21 12:13:30,Medium Package,NE,2,48.01
300420,104692,2024-11-19 08:56:17,Freight,NW,1,300.48
300421,103749,2023-10-11 13:26:10,Medium Package,SE,3,158.11
300422,100942,2025-12-23 11:23:56,Medium Package,NW,4,158.45
