DeliveryID,RouteID,DriverID,Region,ShipmentType,DeliveryDate,ExpectedDeliveryDate,DeliveryStatus,PriorityFlag
100063,R002,Driver 11,SW,Express,2025-06-06 05:30:28,2025-06-08 05:30:28,On-Time,0
100064,R002,Driver 5,MW,Standard,2024-11-14 07:58:03,2024-11-15 07:58:03,On-Time,0
100065,R004,,SE,Standard,2023-11-06 22:05:45,2023-11-07 22:05:45,On-Time,1
100066,R002,Driver 4,NW,Standard,2023-04-27 06:40:12,2023-04-26 06:40:12,On-Time,0
100067,R002,Driver 12,MW,Express,2024-01-16 22:56:20,2024-01-17 22:56:20,On-Time,0
100068,R004,Driver 2,SW,Standard,2024-06-12 03:45:32,2024-06-13 03:45:32,On-Time,0
100069,R004,Driver 13,NW,Standard,2025-08-20 19:54:04,2025-08-18 19:54:04,Late,0
100070,R001,Driver 10,NE,Express,2023-07-21 02:05:37,2023-07-23 02:05:37,Exception,0
100071,R005,Driver 9,SW,Express,2023-12-11 05:44:58,2023-12-09 05:44:58,On-Time,0
100072,R005,Driver 10,NW,Express,2023-01-19 00:20:30,2023-01-19 00:20:30,On-Time,0
100073,R002,Driver 7,SE,Priority,2025-05-19 10:08:46,2025-05-17 10:08:46,On-Time,0
100074,R005,Driver 4,NE,Express,2024-05-03 15:36:43,2024-05-03 15:36:43,Late,0
100075,R002,Driver 19,SW,Priority,2025-12-18 14:18:33,2025-12-18 14:18:33,Exception,0
100076,R001,Driver 10,SE,Express,2023-03-19 11:44:11,2023-03-17 11:44:11,Exception,0
100077,R004,Driver 3,NE,Express,2025-07-07 10:27:34,2025-07-06 10:27:34,Exception,0
100078,R004,,MW,Express,2025-11-15 15:38:33,2025-11-13 15:38:33,Late,1
100079,R004,,SE,Priority,2024-11-10 13:00:36,2024-11-12 13:00:36,Exception,0
100080,R005,Driver 19,N.,Standard,2023-11-06 21:23:10,2023-11-04 21:23:10,On-Time,0
100081,R001,,SW,Express,2023-08-19 16:38:33,2023-08-18 16:38:33,Exception,0
100082,R005,Driver 2,NE,Priority,2023-06-09 23:45:26,2023-06-07 23:45:26,Late,0
100083,R005,Driver 20,SE,Express,2024-08-06 04:31:06,,On-Time,0
100084,R001,Driver 10,MW,Standard,2025-10-22 13:25:50,2025-10-24 13:25:50,On-Time,0
100085,R001,Driver 2,SW,Priority,2025-06-01 15:51:16,2025-06-02 15:51:16,On-Time,0
100086,R001,Driver 2,SW,Express,2024-02-24 18:42:07,2024-02-23 18:42:07,Late,0
100087,R001,,SE,Express,2023-02-25 22:51:18,2023-02-24 22:51:18,On-Time,0
100088,R004,Driver 17,MW,Express,2023-11-13 23:20:15,2023-11-12 23:20:15,On-Time,1
100089,R003,Driver 16,NE,Standard,2024-12-28 10:59:27,2024-12-30 10:59:27,Late,0
100090,R003,Driver 16,SE,Priority,2023-04-05 02:27:58,2023-04-05 02:27:58,On-Time,1
100091,R001,Driver 14,NE,Express,2023-08-27 05:36:51,2023-08-26 05:36:51,Late,0
100092,R003,Driver 7,SW,Express,2023-05-28 01:13:40,2023-05-30 01:13:40,Late,0
100093,R003,,NE,Priority,2023-06-07 11:02:58,2023-06-08 11:02:58,Exception,1
100094,R001,Driver 11,MW,Standard,2024-01-04 07:49:08,2024-01-03 07:49:08,On-Time,0
100095,R003,,NW,Standard,2023-11-25 22:09:28,2023-11-25 22:09:28,Exception,1
100096,R005,Driver 1,MW,Standard,2025-07-15 14:40:28,2025-07-17 14:40:28,On-Time,0
100097,R002,Driver 11,NE,Standard,2025-06-09 21:27:54,2025-06-10 21:27:54,On-Time,1
100098,R002,,SE,Standard,2023-07-13 23:48:32,2023-07-13 23:48:32,On-Time,0
100099,R001,,SW,Express,2025-09-13 02:31:01,2025-09-14 02:31:01,On-Time,0
100100,R004,Driver 4,NW,Express,2025-03-08 05:01:16,2025-03-08 05:01:16,Exception,0
100101,R001,Driver 7,SE,Express,2023-05-07 04:08:25,2023-05-05 04:08:25,On-Time,0
100102,R004,Driver 15,SE,Priority,2025-06-25 07:40:44,2025-06-23 07:40:44,Exception,0
100103,R002,Driver 18,MW,Standard,2023-02-27 22:43:06,2023-02-25 22:43:06,On-Time,1
100104,R001,Driver 12,NE,Priority,2025-01-24 22:44:49,2025-01-25 22:44:49,On-Time,0
100105,R005,Driver 17,MW,Standard,2025-11-27 21:49:17,2025-11-25 21:49:17,On-Time,0
100106,R003,Driver 1,NE,Standard,2025-08-31 18:55:26,2025-09-02 18:55:26,On-Time,0
100107,R004,Driver 11,M.,Priority,2024-10-02 14:57:49,2024-10-04 14:57:49,Exception,0
100108,R003,Driver 1,SE,Express,2024-09-03 04:51:15,2024-09-01 04:51:15,Late,0
100109,R003,Driver 15,SW,Priority,2023-05-21 01:21:44,2023-05-21 01:21:44,On-Time,0
100110,R001,,NE,Express,2023-01-15 06:09:53,2023-01-15 06:09:53,Late,0
100111,R003,Driver 10,NW,Standard,2025-04-15 17:19:39,2025-04-16 17:19:39,On-Time,0
100112,R005,Driver 7,NW,Express,2023-04-21 12:50:16,2023-04-21 12:50:16,On-Time,0
100113,R003,Driver 2,SE,Standard,2025-01-04 07:20:57,2025-01-03 07:20:57,On-Time,0
100114,R001,Driver 10,MW,Standard,2025-10-23 05:27:54,2025-10-23 05:27:54,On-Time,1
100115,R005,,MW,Express,2025-04-16 23:10:09,2025-04-18 23:10:09,Exception,0
100116,R002,Driver 4,SE,Standard,2025-12-04 01:58:53,2025-12-04 01:58:53,On-Time,0
100117,R003,Driver 12,NW,Express,2024-10-08 16:53:00,2024-10-09 16:53:00,On-Time,0
100118,R001,Driver 19,N.,Priority,2023-04-27 11:32:10,2023-04-27 11:32:10,On-Time,0
100119,R002,Driver 11,M.,Standard,2024-12-23 02:05:33,2024-12-24 02:05:33,On-Time,1
100120,R002,Driver 8,NE,Standard,2023-05-30 20:07:05,2023-05-29 20:07:05,On-Time,1
100121,R004,Driver 18,SW,Priority,2025-11-23 10:40:02,2025-11-21 10:40:02,On-Time,1
100122,R005,Driver 11,NE,Standard,2023-08-24 17:31:08,2023-08-23 17:31:08,Late,0
100123,R003,Driver 11,NW,Priority,2023-05-03 15:38:55,2023-05-05 15:38:55,On-Time,0
100124,R001,Driver 13,NE,Priority,2023-06-10 15:39:28,2023-06-09 15:39:28,On-Time,0
100125,R004,Driver 3,SW,Standard,2023-01-17 06:38:48,2023-01-16 06:38:48,On-Time,0
100126,R005,Driver 12,NE,Priority,2024-09-10 10:36:15,2024-09-12 10:36:15,On-Time,0
100127,R004,Driver 3,NE,Priority,2024-01-02 23:57:25,2024-01-04 23:57:25,Late,0
100128,R005,Driver 10,N.,Priority,2024-08-30 22:27:36,2024-08-28 22:27:36,On-Time,0
100129,R005,Driver 17,NE,Standard,2024-07-04 11:34:55,2024-07-02 11:34:55,On-Time,0
100130,R003,,SE,Priority,2023-03-11 19:05:38,2023-03-11 19:05:38,On-Time,0
100131,R005,Driver 2,NW,Express,2024-11-05 08:59:37,2024-11-06 08:59:37,Exception,0
100132,R004,Driver 17,SW,Express,2025-11-12 01:13:31,2025-11-14 01:13:31,Late,1
100133,R005,Driver 16,NW,P.,2023-03-22 23:52:02,2023-03-21 23:52:02,On-Time,0
100134,R003,Driver 2,SE,Express,2024-08-14 05:00:33,2024-08-13 05:00:33,On-Time,1
100135,R003,,SE,Standard,2024-05-27 04:25:41,2024-05-25 04:25:41,On-Time,0
100136,R004,Driver 20,SE,Priority,2024-09-07 21:19:14,2024-09-08 21:19:14,Late,0
100137,R002,Driver 6,SE,Standard,2023-11-13 15:19:00,2023-11-15 15:19:00,On-Time,0
100138,R002,,NE,Express,2023-04-11 12:16:44,2023-04-09 12:16:44,On-Time,0
100139,R005,Driver 10,NW,Express,2025-10-15 22:47:54,2025-10-16 22:47:54,On-Time,1
100140,R001,Driver 10,MW,E.,2025-06-01 22:52:52,2025-06-03 22:52:52,On-Time,0
100141,R005,Driver 8,SW,Express,2024-04-13 04:21:45,2024-04-12 04:21:45,On-Time,1
100142,R004,Driver 1,SE,Standard,2023-07-26 17:04:16,2023-07-25 17:04:16,On-Time,0
100143,R004,Driver 13,NW,Priority,2025-12-11 23:25:41,2025-12-09 23:25:41,On-Time,0
100144,R004,,SE,Standard,2025-06-30 19:54:24,2025-07-01 19:54:24,On-Time,0
100145,R004,Driver 9,SE,Priority,2023-08-31 19:29:00,2023-08-30 19:29:00,On-Time,0
100146,R004,,SE,Express,2023-07-25 12:24:31,2023-07-26 12:24:31,On-Time,0
100147,R003,Driver 10,S.,Express,2025-06-14 07:38:18,2025-06-12 07:38:18,On-Time,0
100148,R002,Driver 15,SE,Express,2025-05-19 04:39:44,2025-05-19 04:39:44,Exception,0
100149,R004,Driver 5,SW,Express,2023-08-20 07:40:20,2023-08-21 07:40:20,On-Time,0
100150,R001,,NW,S.,2025-10-10 10:33:24,2025-10-11 10:33:24,On-Time,0
100151,R001,Driver 16,SE,Priority,2023-02-16 07:55:43,2023-02-14 07:55:43,Late,1
100152,R001,Driver 13,SE,Priority,2023-02-25 11:15:29,2023-02-25 11:15:29,On-Time,0
100153,R001,,S.,Express,2023-04-18 21:45:19,2023-04-17 21:45:19,On-Time,0
100154,R003,,SE,Standard,2025-05-07 05:47:57,2025-05-09 05:47:57,On-Time,0
100155,R001,Driver 20,NE,Express,2023-03-05 18:38:05,2023-03-03 18:38:05,On-Time,1
100156,R004,Driver 18,NE,Priority,2023-01-15 11:04:12,2023-01-17 11:04:12,On-Time,0
100157,R005,Driver 11,MW,Priority,2024-01-06 09:34:54,2024-01-06 09:34:54,On-Time,0
100158,R001,Driver 9,SE,Standard,2023-11-30 08:36:06,2023-11-30 08:36:06,Late,1
100159,R003,Driver 16,MW,Priority,2025-08-15 13:12:15,2025-08-16 13:12:15,Late,0
100160,R003,Driver 2,SW,Standard,2023-09-08 07:47:37,2023-09-10 07:47:37,On-Time,0
100161,R001,,MW,Express,2024-09-16 13:44:34,2024-09-18 13:44:34,Late,0
100162,R005,Driver 2,NW,Express,2025-12-10 18:25:28,2025-12-10 18:25:28,On-Time,0
100163,R001,Driver 12,NE,Standard,2025-04-15 17:26:20,2025-04-17 17:26:20,On-Time,0
100164,R003,Driver 8,NE,Express,2024-05-08 00:21:01,2024-05-07 00:21:01,On-Time,0
100165,R002,Driver 9,SE,Standard,2023-02-24 22:13:45,2023-02-24 22:13:45,On-Time,0
100166,R004,Driver 12,SE,Express,2023-12-31 15:37:05,2024-01-01 15:37:05,On-Time,0
100167,R003,Driver 9,SW,Express,2025-09-10 04:15:21,2025-09-11 04:15:21,On-Time,0
100168,R001,Driver 10,SW,Priority,2024-09-11 04:05:12,2024-09-12 04:05:12,On-Time,0
100169,R004,,NW,Priority,2025-11-30 22:24:08,2025-12-02 22:24:08,Late,1
100170,R001,Driver 2,SE,Standard,2025-10-23 10:02:15,2025-10-23 10:02:15,On-Time,0
100171,R001,Driver 16,SE,Express,2025-02-13 19:41:48,2025-02-14 19:41:48,On-Time,0
100172,R002,Driver 20,SW,Express,2023-06-15 00:06:30,2023-06-15 00:06:30,On-Time,0
100173,R004,Driver 7,SW,Express,2025-11-29 11:41:51,2025-12-01 11:41:51,On-Time,0
100174,R004,Driver 2,SW,Priority,2024-05-27 23:31:15,2024-05-26 23:31:15,Late,1
100175,R002,Driver 1,N.,Standard,2023-03-13 20:14:49,2023-03-12 20:14:49,Exception,0
100176,R003,Driver 19,MW,Standard,2024-04-14 19:36:22,2024-04-13 19:36:22,Late,0
100177,R001,Driver 4,MW,Standard,2024-07-21 23:34:37,2024-07-23 23:34:37,Late,1
100178,R005,,SE,Express,2024-07-27 17:30:52,2024-07-28 17:30:52,On-Time,0
100179,R001,,NE,Standard,2025-08-14 22:21:41,2025-08-16 22:21:41,On-Time,0
100180,R001,Driver 2,SW,Priority,2023-11-26 17:18:16,2023-11-26 17:18:16,On-Time,0
100181,R003,,SE,Priority,2023-05-13 00:03:24,2023-05-12 00:03:24,Exception,0
100182,R001,Driver 14,NE,Standard,2024-11-11 07:30:44,2024-11-11 07:30:44,On-Time,0
100183,R002,Driver 2,NW,Express,2023-01-01 08:46:51,2023-01-03 08:46:51,On-Time,0
100184,R002,Driver 15,NE,Priority,2023-02-02 16:15:39,2023-01-31 16:15:39,On-Time,0
100185,R004,Driver 12,SE,Priority,2024-05-08 09:31:49,2024-05-06 09:31:49,On-Time,1
100186,R005,Driver 5,MW,Express,2023-10-01 07:00:41,2023-10-03 07:00:41,On-Time,0
100187,R001,Driver 20,SW,Express,2024-09-07 00:29:41,2024-09-08 00:29:41,Late,0
100188,R001,Driver 7,NW,Standard,2025-09-27 23:13:17,2025-09-27 23:13:17,On-Time,0
100189,R003,,NE,Priority,2023-04-23 13:17:27,,Late,0
100190,R002,,SE,Priority,2025-07-19 09:34:30,2025-07-21 09:34:30,Exception,0
100191,R005,Driver 10,SE,Standard,2024-06-30 09:47:28,2024-06-28 09:47:28,Late,1
100192,R004,Driver 14,SW,Standard,2023-10-17 09:13:56,2023-10-16 09:13:56,Exception,0
100193,R002,Driver 14,SE,Priority,2024-10-22 06:19:22,2024-10-21 06:19:22,On-Time,0
100194,R004,Driver 5,SE,Priority,2025-11-21 08:20:28,2025-11-22 08:20:28,Exception,0
100195,R003,Driver 18,SW,Express,2023-05-04 00:29:29,2023-05-05 00:29:29,On-Time,0
100196,R003,,NW,Express,2025-02-23 19:31:00,2025-02-24 19:31:00,Late,1
100197,R001,Driver 14,MW,Priority,2024-12-02 01:49:26,2024-11-30 01:49:26,On-Time,1
100198,R005,Driver 2,MW,Priority,2025-08-06 08:08:25,2025-08-08 08:08:25,On-Time,0
100199,R004,Driver 12,NE,Express,2023-02-26 22:30:54,2023-02-27 22:30:54,On-Time,1
100200,R002,,NW,Standard,2024-12-02 13:52:15,2024-11-30 13:52:15,On-Time,0
100201,R003,,NE,Standard,2023-12-09 15:49:03,2023-12-09 15:49:03,Exception,0
100202,R001,Driver 6,MW,Priority,2023-09-02 08:11:30,2023-09-04 08:11:30,Late,1
100203,R001,Driver 4,SW,Priority,2024-08-06 10:35:58,2024-08-06 10:35:58,On-Time,0
100204,R004,Driver 13,SE,Express,2024-05-13 06:21:12,2024-05-12 06:21:12,On-Time,0
100205,R003,Driver 4,MW,Priority,2024-01-14 02:04:21,2024-01-13 02:04:21,Late,0
100206,R005,,NW,Standard,2025-08-28 04:00:40,2025-08-30 04:00:40,On-Time,0
100207,R003,Driver 14,MW,Express,2023-03-17 14:55:10,2023-03-18 14:55:10,Late,0
100208,R004,Driver 16,NW,Express,2025-02-22 23:57:12,2025-02-24 23:57:12,On-Time,1
100209,R004,Driver 4,NW,Standard,2025-01-07 22:35:50,2025-01-08 22:35:50,On-Time,0
100210,R003,,N.,Standard,2023-08-17 23:33:45,2023-08-16 23:33:45,Exception,0
100211,R004,,NE,Express,2023-12-17 10:14:19,2023-12-19 10:14:19,On-Time,0
100212,R003,Driver 1,SW,Priority,2024-06-11 23:22:47,2024-06-13 23:22:47,On-Time,0
100213,R002,Driver 13,MW,Standard,2024-11-11 11:42:12,2024-11-12 11:42:12,Exception,0
100214,R003,Driver 4,S.,Express,2024-01-08 15:13:19,2024-01-07 15:13:19,Exception,1
100215,R003,Driver 20,SE,Priority,2024-04-18 01:07:58,2024-04-17 01:07:58,Exception,1
100216,R004,Driver 18,MW,Priority,2025-12-27 11:51:30,2025-12-28 11:51:30,On-Time,0
100217,R004,Driver 6,SW,Express,2024-12-06 20:19:12,2024-12-07 20:19:12,On-Time,1
100218,R001,Driver 3,SW,Standard,2023-04-10 08:58:39,2023-04-11 08:58:39,On-Time,0
100219,R001,,SE,Priority,2023-06-11 13:03:56,2023-06-10 13:03:56,On-Time,0
100220,R002,Driver 13,NW,Standard,2025-01-29 05:35:27,2025-01-28 05:35:27,Late,0
100221,R001,Driver 16,MW,Express,2023-12-09 22:11:52,2023-12-11 22:11:52,On-Time,0
100222,R003,Driver 5,MW,Standard,2025-06-13 15:54:41,2025-06-12 15:54:41,On-Time,0
100223,R004,Driver 4,SE,Priority,2024-07-23 01:42:31,2024-07-23 01:42:31,Exception,1
100224,R001,,NW,Express,2023-08-09 02:49:30,2023-08-09 02:49:30,Exception,0
100225,R001,Driver 8,MW,Priority,2025-04-25 05:41:24,2025-04-26 05:41:24,On-Time,0
100226,R002,Driver 19,MW,Priority,2024-11-08 08:14:57,2024-11-09 08:14:57,On-Time,0
100227,R002,Driver 14,MW,Express,2024-12-24 12:18:49,2024-12-25 12:18:49,Late,1
100228,R003,Driver 7,NW,Express,2025-07-31 12:13:45,2025-08-02 12:13:45,On-Time,1
100229,R004,Driver 14,SE,Standard,2023-04-21 20:40:05,2023-04-21 20:40:05,Late,0
100230,R002,Driver 6,MW,E.,2025-07-20 10:06:37,2025-07-20 10:06:37,Late,0
100231,R001,Driver 12,SW,Standard,2023-12-29 12:13:35,2023-12-28 12:13:35,On-Time,0
100232,R004,Driver 16,NW,Express,2023-10-14 03:54:13,2023-10-14 03:54:13,On-Time,0
100233,R004,Driver 17,NE,Priority,2023-04-01 01:53:25,2023-03-31 01:53:25,On-Time,0
100234,R001,Driver 13,SE,Standard,2025-05-27 23:31:51,2025-05-29 23:31:51,On-Time,0
100235,R002,,SW,Express,2023-10-22 01:17:20,2023-10-23 01:17:20,On-Time,0
100236,R001,Driver 14,MW,Standard,2025-02-11 01:47:11,2025-02-12 01:47:11,Late,1
100237,R004,Driver 7,NE,Standard,2024-08-07 02:29:36,2024-08-06 02:29:36,Exception,0
100238,R005,Driver 14,SE,Standard,2023-09-27 19:53:53,2023-09-25 19:53:53,On-Time,0
100239,R005,Driver 15,NW,Priority,2024-09-28 13:55:03,2024-09-27 13:55:03,Exception,0
100240,R003,Driver 12,NE,Express,2023-11-20 00:44:50,2023-11-22 00:44:50,On-Time,0
100241,R001,Driver 17,NE,Express,2025-08-24 08:19:03,2025-08-24 08:19:03,Late,0
100242,R001,Driver 9,SW,Standard,2025-01-17 01:32:53,2025-01-16 01:32:53,On-Time,0
100243,R003,,SE,Express,2024-04-12 17:26:08,2024-04-14 17:26:08,On-Time,0
100244,R003,Driver 15,SW,Priority,2024-07-13 22:20:38,2024-07-14 22:20:38,On-Time,1
100245,R003,Driver 12,SW,Standard,2024-10-12 23:14:20,2024-10-10 23:14:20,On-Time,0
100246,R004,Driver 2,MW,Priority,2023-09-06 10:16:21,2023-09-04 10:16:21,On-Time,0
100247,R001,Driver 5,NW,Priority,2024-05-28 17:48:00,2024-05-27 17:48:00,Late,1
100248,R004,Driver 13,NE,Express,2025-01-17 19:37:56,2025-01-17 19:37:56,On-Time,0
100249,R003,Driver 20,SE,Express,2024-04-13 22:07:12,2024-04-12 22:07:12,Exception,0
100250,R001,,NW,Standard,2025-05-15 16:46:56,2025-05-13 16:46:56,On-Time,0
100251,R004,Driver 8,NW,Priority,2024-01-23 06:32:05,2024-01-21 06:32:05,On-Time,1
100252,R004,Driver 14,S.,Express,2024-05-18 04:40:39,2024-05-19 04:40:39,On-Time,0
100253,R003,Driver 15,NW,Standard,2024-07-24 07:04:14,2024-07-24 07:04:14,Exception,0
100254,R001,Driver 11,MW,Standard,2024-05-02 04:29:11,2024-05-02 04:29:11,On-Time,0
100255,R003,Driver 1,NW,Express,2025-10-29 23:59:22,2025-10-27 23:59:22,On-Time,0
100256,R001,,MW,Priority,2023-02-24 08:58:59,2023-02-22 08:58:59,Exception,1
100257,R005,Driver 3,NE,Standard,2023-09-03 04:58:22,2023-09-02 04:58:22,On-Time,0
100258,R002,Driver 17,NE,Express,2024-05-22 03:02:21,2024-05-21 03:02:21,On-Time,0
100259,R002,Driver 19,SW,Standard,2023-01-04 15:15:32,2023-01-05 15:15:32,On-Time,0
100260,R002,Driver 14,MW,Express,2024-03-13 11:35:05,2024-03-11 11:35:05,On-Time,0
100261,R003,,NE,Standard,2023-06-27 10:17:08,2023-06-26 10:17:08,On-Time,1
100262,R005,,NW,Priority,2025-05-01 02:04:21,2025-05-02 02:04:21,Exception,0
100263,R001,Driver 8,SE,Standard,2025-05-05 06:15:42,2025-05-05 06:15:42,Exception,0
100264,R004,Driver 13,SE,Express,2024-05-08 11:43:45,2024-05-06 11:43:45,On-Time,1
100265,R001,Driver 20,MW,Express,2024-08-19 03:54:21,2024-08-21 03:54:21,On-Time,1
100266,R004,Driver 3,SW,Express,2024-09-03 09:39:41,2024-09-01 09:39:41,On-Time,0
100267,R001,Driver 5,NW,Priority,2023-12-28 17:18:59,2023-12-27 17:18:59,On-Time,0
100268,R005,Driver 9,MW,Express,2023-08-09 20:39:06,2023-08-07 20:39:06,On-Time,0
100269,R004,Driver 6,SE,Express,2025-12-16 15:08:35,2025-12-18 15:08:35,On-Time,0
100270,R003,,MW,Priority,2023-07-29 21:37:42,2023-07-27 21:37:42,On-Time,0
100271,R001,,NW,Express,2025-11-29 02:45:34,2025-11-28 02:45:34,On-Time,1
100272,R001,Driver 2,N.,Express,2025-07-09 13:39:34,2025-07-09 13:39:34,Late,1
100273,R004,Driver 13,NW,P.,2023-01-03 17:22:48,2023-01-02 17:22:48,Late,1
100274,R003,Driver 5,NE,Standard,2025-10-10 17:10:38,2025-10-11 17:10:38,On-Time,0
100275,R003,,NE,Express,2024-09-05 09:41:45,2024-09-04 09:41:45,Late,1
100276,R005,Driver 8,N.,Standard,2023-02-07 02:38:03,2023-02-08 02:38:03,On-Time,0
